start_year,start_month,start_day,end_year,end_month,end_day
2000,4,2,2000,10,29
2001,4,1,2001,10,28
2002,4,7,2002,10,27
2003,4,6,2003,10,26
2004,4,4,2004,10,31
2005,4,3,2005,10,30
2006,4,2,2006,10,29
2007,3,11,2007,11,4
2008,3,9,2008,11,2
2009,3,8,2009,11,1
2010,3,14,2010,11,7
2011,3,13,2011,11,6
2012,3,11,2012,11,4
2013,3,10,2013,11,3
2014,3,9,2014,11,2
2015,3,8,2015,11,1
2016,3,13,2016,11,6
2017,3,12,2017,11,5
2018,3,11,2018,11,4 
2019,3,10,2019,11,3
2020,3,8,2020,11,1
2021,3,14,2021,11,7
2022,3,13,2022,11,6
2023,3,12,2023,11,5
2024,3,10,2024,11,3
2025,3,9,2025,11,2
2026,3,8,2026,11,1
2027,3,14,2027,11,7
2028,3,12,2028,11,5
2029,3,11,2029,11,4
2030,3,10,2030,11,3
2031,3,9,2031,11,2
2032,3,14,2032,11,7
2033,3,13,2033,11,6
2034,3,12,2034,11,5
2035,3,11,2035,11,4 
2036,3,9,2036,11,2
2037,3,8,2037,11,1
2038,3,14,2038,11,7
2039,3,13,2039,11,6
2040,3,11,2040,11,4


