day,rise,set
1-Jan-08,758,1633
2-Jan-08,758,1634
3-Jan-08,757,1635
4-Jan-08,757,1636
5-Jan-08,757,1637
6-Jan-08,757,1638
7-Jan-08,757,1639
8-Jan-08,757,1640
9-Jan-08,756,1641
10-Jan-08,756,1642
11-Jan-08,755,1644
12-Jan-08,755,1645
13-Jan-08,754,1646
14-Jan-08,754,1648
15-Jan-08,753,1649
16-Jan-08,753,1650
17-Jan-08,752,1652
18-Jan-08,751,1653
19-Jan-08,751,1654
20-Jan-08,750,1656
21-Jan-08,749,1657
22-Jan-08,748,1659
23-Jan-08,747,1700
24-Jan-08,746,1702
25-Jan-08,745,1703
26-Jan-08,744,1705
27-Jan-08,743,1706
28-Jan-08,742,1708
29-Jan-08,741,1709
30-Jan-08,740,1711
31-Jan-08,738,1712
1-Feb-08,737,1714 
2-Feb-08,736,1715 
3-Feb-08,735,1717
4-Feb-08,733,1718
5-Feb-08,732,1720
6-Feb-08,730,1721
7-Feb-08,729,1723
8-Feb-08,728,1724
9-Feb-08,726,1726
10-Feb-08,725,1728
11-Feb-08,723,1729
12-Feb-08,722,1731
13-Feb-08,720,1732
14-Feb-08,718,1734
15-Feb-08,717,1735
16-Feb-08,715,1737
17-Feb-08,713,1738
18-Feb-08,712,1740
19-Feb-08,710,1741
20-Feb-08,708,1743
21-Feb-08,707,1744
22-Feb-08,705,1746
23-Feb-08,703,1747
24-Feb-08,701,1749
25-Feb-08,700,1750
26-Feb-08,658,1752
27-Feb-08,656,1753
28-Feb-08,654,1755
29-Feb-08,652,1756
1-Mar-08,650,1758
2-Mar-08,649,1759
3-Mar-08,647,1801
4-Mar-08,645,1802
5-Mar-08,643,1804
6-Mar-08,641,1805
7-Mar-08,639,1807
8-Mar-08,637,1808
9-Mar-08,635,1809
10-Mar-08,633,1811
11-Mar-08,631,1812
12-Mar-08,629,1814
13-Mar-08,627,1815
14-Mar-08,625,1817
15-Mar-08,623,1818
16-Mar-08,621,1819
17-Mar-08,619,1821
18-Mar-08,617,1822
19-Mar-08,615,1824
20-Mar-08,613,1825
21-Mar-08,611,1826
22-Mar-08,609,1828
23-Mar-08,607,1829
24-Mar-08,605,1831
25-Mar-08,603,1832
26-Mar-08,601,1833
27-Mar-08,559,1835
28-Mar-08,557,1836
29-Mar-08,555,1838
